ancestry	pleio_model	result_type	constituent_trait	single_trait_available	n_pleio_sig_bonf	n_single_sig_bonf	n_exact_overlap_bonf	jaccard_bonf	fraction_pleio_sig_shared_bonf	fraction_single_sig_recovered_bonf	overlap_terms_bonf	n_pleio_sig_fdr	n_single_sig_fdr	n_exact_overlap_fdr	jaccard_fdr	fraction_pleio_sig_shared_fdr	fraction_single_sig_recovered_fdr	overlap_terms_fdr
EUR	FOURTRAIT	competitive_gene_set	EA	True	46.0	30.0	11.0	0.16923076923076924	0.2391304347826087	0.36666666666666664	BIOCARTA_FLUMAZENIL_PATHWAY;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_PART_MORPHOGENESIS;GOBP_GENERATION_OF_NEURONS;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_SYNAPSE_ORGANIZATION;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_SYNAPSE	192.0	115.0	67.0	0.2791666666666667	0.3489583333333333	0.5826086956521739	BIOCARTA_FLUMAZENIL_PATHWAY;BIOCARTA_FREE_PATHWAY;BLALOCK_ALZHEIMERS_DISEASE_DN;GOBP_AXON_DEVELOPMENT;GOBP_CELLULAR_COMPONENT_MORP...;GOBP_CELL_DEATH_IN_RESPONSE_...2;GOBP_CELL_JUNCTION_ORGANIZAT...;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_MORPHOGENESIS_INVO...;GOBP_CELL_PART_MORPHOGENESIS;GOBP_CENTRAL_NERVOUS_SYSTEM_...1;GOBP_CENTRAL_NERVOUS_SYSTEM_...7;GOBP_FOREBRAIN_DEVELOPMENT;GOBP_GENERATION_OF_NEURONS;GOBP_HEAD_DEVELOPMENT;GOBP_INTRINSIC_APOPTOTIC_SIG...9;GOBP_MAMMARY_GLAND_EPITHELIA...2;GOBP_MRNA_METABOLIC_PROCESS;GOBP_NEGATIVE_REGULATION_OF_...332;GOBP_NEGATIVE_REGULATION_OF_...492;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_POSITIVE_REGULATION_OF_...145;GOBP_POSITIVE_REGULATION_OF_...464;GOBP_POSITIVE_REGULATION_OF_...730;GOBP_POSTSYNAPSE_ORGANIZATION;GOBP_REGULATION_OF_AXONOGENE...;GOBP_REGULATION_OF_CELL_PROJ...2;GOBP_REGULATION_OF_INTRINSIC...1;GOBP_REGULATION_OF_MAMMARY_G...;GOBP_REGULATION_OF_MRNA_META...;GOBP_REGULATION_OF_NERVOUS_S...1;GOBP_REGULATION_OF_NEUROGENE...;GOBP_REGULATION_OF_NEURON_PR...2;GOBP_REGULATION_OF_OXIDATIVE...2;GOBP_REGULATION_OF_OXIDATIVE...3;GOBP_REGULATION_OF_SYNAPSE_S...2;GOBP_REGULATION_OF_TRANS_SYN...;GOBP_RESPONSE_TO_FOLIC_ACID;GOBP_RESPONSE_TO_SYMBIONT;GOBP_RNA_PROCESSING;GOBP_SYNAPSE_ASSEMBLY;GOBP_SYNAPSE_ORGANIZATION;GOBP_SYNAPTIC_MEMBRANE_ADHES...;GOBP_SYNAPTIC_SIGNALING;GOBP_TELENCEPHALON_DEVELOPME...;GOBP_VOCALIZATION_BEHAVIOR;GOCC_AMPA_GLUTAMATE_RECEPTOR...;GOCC_CHROMATIN;GOCC_CHROMOSOME;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_NUCLEAR_PROTEIN_CONTAIN...;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_DENSITY_ME...;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_POSTSYNAPTIC_SPECIALIZA...3;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOMF_HIGH_VOLTAGE_GATED_CALC...;GOMF_RNA_BINDING;GOMF_TRANSCRIPTION_REGULATOR...2;HOUNKPE_HOUSEKEEPING_GENES;MOLENAAR_TARGETS_OF_CCND1_AN...2;REACTOME_SYNTHESIS_OF_12_EIC...;REACTOME_SYNTHESIS_OF_15_EIC...;REACTOME_SYNTHESIS_OF_5_EICO...
EUR	FOURTRAIT	competitive_gene_set	CF	True	46.0	16.0	9.0	0.16981132075471697	0.1956521739130435	0.5625	GOBP_CELL_MORPHOGENESIS;GOBP_CELL_PART_MORPHOGENESIS;GOBP_GENERATION_OF_NEURONS;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_SYNAPSE_ORGANIZATION;GOCC_DENDRITIC_TREE;GOCC_NEURON_PROJECTION;VERHAAK_GLIOBLASTOMA_PRONEUR...	192.0	79.0	54.0	0.2488479262672811	0.28125	0.6835443037974683	BLALOCK_ALZHEIMERS_DISEASE_DN;GOBP_AXON_DEVELOPMENT;GOBP_CELLULAR_COMPONENT_MORP...;GOBP_CELLULAR_RESPONSE_TO_CA...5;GOBP_CELL_JUNCTION_ASSEMBLY;GOBP_CELL_JUNCTION_ORGANIZAT...;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_MORPHOGENESIS_INVO...;GOBP_CELL_PART_MORPHOGENESIS;GOBP_CENTRAL_NERVOUS_SYSTEM_...1;GOBP_CENTRAL_NERVOUS_SYSTEM_...7;GOBP_FOREBRAIN_DEVELOPMENT;GOBP_GENERATION_OF_NEURONS;GOBP_HEAD_DEVELOPMENT;GOBP_INTRACELLULAR_GLUCOSE_H...;GOBP_NEGATIVE_REGULATION_OF_...17;GOBP_NEGATIVE_REGULATION_OF_...49;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_POSITIVE_REGULATION_OF_...730;GOBP_POSITIVE_REGULATION_OF_...889;GOBP_REGULATION_OF_NERVOUS_S...1;GOBP_REGULATION_OF_NEUROGENE...;GOBP_REGULATION_OF_SYNAPSE_A...;GOBP_REGULATION_OF_SYNAPSE_S...2;GOBP_REGULATION_OF_TRANS_SYN...;GOBP_RESPONSE_TO_L_GLUTAMATE;GOBP_SYNAPSE_ASSEMBLY;GOBP_SYNAPSE_ORGANIZATION;GOBP_SYNAPTIC_MEMBRANE_ADHES...;GOBP_SYNAPTIC_SIGNALING;GOBP_SYNAPTIC_TRANSMISSION_G...2;GOBP_TELENCEPHALON_DEVELOPME...;GOCC_CHROMATIN;GOCC_CHROMOSOME;GOCC_DENDRITE_MEMBRANE;GOCC_DENDRITIC_TREE;GOCC_ION_CHANNEL_COMPLEX;GOCC_NEURON_PROJECTION;GOCC_NEURON_SPINE;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_POSTSYNAPTIC_SPECIALIZA...3;GOCC_SOMATODENDRITIC_COMPART...;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOCC_TRANSPORTER_COMPLEX;GOMF_HIGH_VOLTAGE_GATED_CALC...;GOMF_SEQUENCE_SPECIFIC_DNA_B...;GOMF_VOLTAGE_GATED_MONOATOMI...2;REACTOME_MECP2_REGULATES_TRA...1;VERHAAK_GLIOBLASTOMA_PRONEUR...
EUR	FOURTRAIT	competitive_gene_set	MDD	True	46.0	3.0	0.0	0.0	0.0	0.0		192.0	21.0	14.0	0.07035175879396985	0.07291666666666667	0.6666666666666666	DAWSON_METHYLATED_IN_LYMPHOM...;GOBP_CHROMATIN_ORGANIZATION;GOBP_SYNAPSE_ASSEMBLY;GOCC_AXON;GOCC_DENDRITE_MEMBRANE;GOCC_GABA_ERGIC_SYNAPSE;GOCC_NEURON_PROJECTION_MEMBR...;GOCC_POSTSYNAPSE;GOCC_PRESYNAPSE;GOCC_PRESYNAPTIC_MEMBRANE;GOCC_SYNAPSE;GOMF_VOLTAGE_GATED_CALCIUM_C...1;REACTOME_REGULATION_OF_MECP2...;REACTOME_TRANSCRIPTIONAL_REG...2
EUR	FOURTRAIT	competitive_gene_set	SCZ	True	46.0	20.0	13.0	0.24528301886792453	0.2826086956521739	0.65	GOBP_SYNAPTIC_SIGNALING;GOCC_AXON;GOCC_DENDRITIC_TREE;GOCC_L_TYPE_VOLTAGE_GATED_CA...;GOCC_NEURON_PROJECTION;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_SOMATODENDRITIC_COMPART...;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOMF_VOLTAGE_GATED_MONOATOMI...2	192.0	62.0	32.0	0.14414414414414414	0.16666666666666666	0.5161290322580645	GOBP_REGULATION_OF_MRNA_META...;GOBP_REGULATION_OF_SYNAPTIC_...2;GOBP_REGULATION_OF_TRANS_SYN...;GOBP_STRIATUM_DEVELOPMENT;GOBP_SUBPALLIUM_DEVELOPMENT;GOBP_SYNAPSE_ORGANIZATION;GOBP_SYNAPTIC_SIGNALING;GOCC_AXON;GOCC_CALCIUM_CHANNEL_COMPLEX;GOCC_DENDRITIC_TREE;GOCC_L_TYPE_VOLTAGE_GATED_CA...;GOCC_NEURON_PROJECTION;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_DENSITY_ME...;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_POSTSYNAPTIC_SPECIALIZA...3;GOCC_PRESYNAPSE;GOCC_SOMATODENDRITIC_COMPART...;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOCC_VOLTAGE_GATED_CALCIUM_C...;GOMF_HIGH_VOLTAGE_GATED_CALC...;GOMF_VOLTAGE_GATED_CALCIUM_C...1;GOMF_VOLTAGE_GATED_CALCIUM_C...2;GOMF_VOLTAGE_GATED_CHANNEL_A...;GOMF_VOLTAGE_GATED_MONOATOMI...2;REACTOME_MECP2_REGULATES_TRA...1;REACTOME_NEURONAL_SYSTEM;REACTOME_PROTEIN_PROTEIN_INT...;STARK_PREFRONTAL_CORTEX_22Q1...2
EUR	MDD_3TRAIT	competitive_gene_set	EA	True	40.0	30.0	17.0	0.32075471698113206	0.425	0.5666666666666667	BIOCARTA_FLUMAZENIL_PATHWAY;BIOCARTA_FREE_PATHWAY;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_PART_MORPHOGENESIS;GOBP_GENERATION_OF_NEURONS;GOBP_MAMMARY_GLAND_EPITHELIA...2;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_REGULATION_OF_MAMMARY_G...;GOBP_RESPONSE_TO_FOLIC_ACID;GOBP_RESPONSE_TO_SYMBIONT;GOBP_SYNAPSE_ORGANIZATION;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_SYNAPSE;REACTOME_SYNTHESIS_OF_5_EICO...	169.0	115.0	77.0	0.3719806763285024	0.4556213017751479	0.6695652173913044	BIOCARTA_FLUMAZENIL_PATHWAY;BIOCARTA_FREE_PATHWAY;BLALOCK_ALZHEIMERS_DISEASE_DN;GOBP_AXON_DEVELOPMENT;GOBP_CELLULAR_COMPONENT_MORP...;GOBP_CELL_DEATH_IN_RESPONSE_...2;GOBP_CELL_JUNCTION_ORGANIZAT...;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_MORPHOGENESIS_INVO...;GOBP_CELL_PART_MORPHOGENESIS;GOBP_CENTRAL_NERVOUS_SYSTEM_...1;GOBP_CENTRAL_NERVOUS_SYSTEM_...7;GOBP_FOREBRAIN_DEVELOPMENT;GOBP_GENERATION_OF_NEURONS;GOBP_GLUTATHIONE_METABOLIC_P...;GOBP_HEAD_DEVELOPMENT;GOBP_INTRINSIC_APOPTOTIC_SIG...9;GOBP_LIPOXYGENASE_PATHWAY;GOBP_MAMMARY_GLAND_EPITHELIA...2;GOBP_MRNA_METABOLIC_PROCESS;GOBP_NEGATIVE_REGULATION_OF_...332;GOBP_NEGATIVE_REGULATION_OF_...491;GOBP_NEGATIVE_REGULATION_OF_...492;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_POSITIVE_REGULATION_OF_...145;GOBP_POSITIVE_REGULATION_OF_...464;GOBP_POSITIVE_REGULATION_OF_...556;GOBP_POSITIVE_REGULATION_OF_...730;GOBP_POSTSYNAPSE_ORGANIZATION;GOBP_REGULATION_OF_AXONOGENE...;GOBP_REGULATION_OF_INTRINSIC...1;GOBP_REGULATION_OF_MAMMARY_G...;GOBP_REGULATION_OF_MRNA_META...;GOBP_REGULATION_OF_NERVOUS_S...1;GOBP_REGULATION_OF_NEUROGENE...;GOBP_REGULATION_OF_NEURON_PR...2;GOBP_REGULATION_OF_OXIDATIVE...2;GOBP_REGULATION_OF_OXIDATIVE...3;GOBP_REGULATION_OF_SYNAPSE_S...2;GOBP_REGULATION_OF_TRANS_SYN...;GOBP_RESPONSE_TO_FOLIC_ACID;GOBP_RESPONSE_TO_HYDROPEROXI...;GOBP_RESPONSE_TO_SYMBIONT;GOBP_RNA_PROCESSING;GOBP_SYNAPSE_ASSEMBLY;GOBP_SYNAPSE_ORGANIZATION;GOBP_SYNAPTIC_MEMBRANE_ADHES...;GOBP_SYNAPTIC_SIGNALING;GOBP_TELENCEPHALON_DEVELOPME...;GOBP_UV_PROTECTION;GOBP_VOCALIZATION_BEHAVIOR;GOCC_AMPA_GLUTAMATE_RECEPTOR...;GOCC_CHROMATIN;GOCC_CHROMOSOME;GOCC_LEWY_BODY;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_NUCLEAR_PROTEIN_CONTAIN...;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_DENSITY_ME...;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_POSTSYNAPTIC_SPECIALIZA...3;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOMF_GLUTATHIONE_PEROXIDASE_...;GOMF_HIGH_VOLTAGE_GATED_CALC...;GOMF_RNA_BINDING;GOMF_TRANSCRIPTION_REGULATOR...2;HOUNKPE_HOUSEKEEPING_GENES;MOLENAAR_TARGETS_OF_CCND1_AN...2;REACTOME_DETOXIFICATION_OF_R...;REACTOME_SYNTHESIS_OF_12_EIC...;REACTOME_SYNTHESIS_OF_15_EIC...;REACTOME_SYNTHESIS_OF_5_EICO...;WP_GLUTATHIONE_METABOLISM;WP_OXIDATIVE_STRESS_RESPONSE
EUR	MDD_3TRAIT	competitive_gene_set	CF	True	40.0	16.0	7.0	0.14285714285714285	0.175	0.4375	GOBP_CELL_MORPHOGENESIS;GOBP_CELL_PART_MORPHOGENESIS;GOBP_GENERATION_OF_NEURONS;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_SYNAPSE_ORGANIZATION;GOCC_NEURON_PROJECTION	169.0	79.0	51.0	0.25888324873096447	0.30177514792899407	0.6455696202531646	BLALOCK_ALZHEIMERS_DISEASE_DN;GOBP_AXON_DEVELOPMENT;GOBP_CELLULAR_COMPONENT_MORP...;GOBP_CELL_JUNCTION_ASSEMBLY;GOBP_CELL_JUNCTION_ORGANIZAT...;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_MORPHOGENESIS_INVO...;GOBP_CELL_PART_MORPHOGENESIS;GOBP_CENTRAL_NERVOUS_SYSTEM_...1;GOBP_CENTRAL_NERVOUS_SYSTEM_...7;GOBP_FOREBRAIN_DEVELOPMENT;GOBP_GENERATION_OF_NEURONS;GOBP_HEAD_DEVELOPMENT;GOBP_NEGATIVE_REGULATION_OF_...17;GOBP_NEGATIVE_REGULATION_OF_...49;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_POSITIVE_REGULATION_OF_...556;GOBP_POSITIVE_REGULATION_OF_...730;GOBP_REGULATION_OF_CELL_DIFF...;GOBP_REGULATION_OF_NERVOUS_S...1;GOBP_REGULATION_OF_NEUROGENE...;GOBP_REGULATION_OF_SYNAPSE_A...;GOBP_REGULATION_OF_SYNAPSE_S...2;GOBP_REGULATION_OF_TRANS_SYN...;GOBP_RESPONSE_TO_L_GLUTAMATE;GOBP_SYNAPSE_ASSEMBLY;GOBP_SYNAPSE_ORGANIZATION;GOBP_SYNAPTIC_MEMBRANE_ADHES...;GOBP_SYNAPTIC_SIGNALING;GOBP_TELENCEPHALON_DEVELOPME...;GOCC_CHROMATIN;GOCC_CHROMOSOME;GOCC_DENDRITE_MEMBRANE;GOCC_DENDRITIC_TREE;GOCC_ION_CHANNEL_COMPLEX;GOCC_NEURON_PROJECTION;GOCC_NEURON_SPINE;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_POSTSYNAPTIC_SPECIALIZA...3;GOCC_SOMATODENDRITIC_COMPART...;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOMF_HIGH_VOLTAGE_GATED_CALC...;GOMF_SEQUENCE_SPECIFIC_DNA_B...;GOMF_VOLTAGE_GATED_MONOATOMI...2;REACTOME_MECP2_REGULATES_TRA...1;VERHAAK_GLIOBLASTOMA_PRONEUR...
EUR	MDD_3TRAIT	competitive_gene_set	MDD	True	40.0	3.0	1.0	0.023809523809523808	0.025	0.3333333333333333	DAWSON_METHYLATED_IN_LYMPHOM...	169.0	21.0	10.0	0.05555555555555555	0.05917159763313609	0.47619047619047616	DAWSON_METHYLATED_IN_LYMPHOM...;GOBP_CHROMATIN_ORGANIZATION;GOBP_SYNAPSE_ASSEMBLY;GOCC_AXON;GOCC_DENDRITE_MEMBRANE;GOCC_GABA_ERGIC_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_SYNAPSE;GOMF_VOLTAGE_GATED_CALCIUM_C...1;REACTOME_TRANSCRIPTIONAL_REG...2
EUR	SCZ_3TRAIT	competitive_gene_set	EA	True	29.0	30.0	14.0	0.3111111111111111	0.4827586206896552	0.4666666666666667	BIOCARTA_FLUMAZENIL_PATHWAY;GOBP_CELLULAR_COMPONENT_MORP...;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_MORPHOGENESIS_INVO...;GOBP_CELL_PART_MORPHOGENESIS;GOBP_GENERATION_OF_NEURONS;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_RESPONSE_TO_SYMBIONT;GOBP_SYNAPSE_ORGANIZATION;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_SYNAPSE	145.0	115.0	69.0	0.3612565445026178	0.47586206896551725	0.6	BIOCARTA_FLUMAZENIL_PATHWAY;BIOCARTA_FREE_PATHWAY;BLALOCK_ALZHEIMERS_DISEASE_DN;GOBP_AXON_DEVELOPMENT;GOBP_CELLULAR_COMPONENT_MORP...;GOBP_CELL_DEATH_IN_RESPONSE_...2;GOBP_CELL_JUNCTION_ORGANIZAT...;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_MORPHOGENESIS_INVO...;GOBP_CELL_PART_MORPHOGENESIS;GOBP_CENTRAL_NERVOUS_SYSTEM_...1;GOBP_CENTRAL_NERVOUS_SYSTEM_...7;GOBP_DENDRITE_DEVELOPMENT;GOBP_FOREBRAIN_DEVELOPMENT;GOBP_GENERATION_OF_NEURONS;GOBP_GLUTATHIONE_METABOLIC_P...;GOBP_HEAD_DEVELOPMENT;GOBP_INTRINSIC_APOPTOTIC_SIG...9;GOBP_LIPOXYGENASE_PATHWAY;GOBP_MAMMARY_GLAND_EPITHELIA...2;GOBP_MRNA_METABOLIC_PROCESS;GOBP_NEGATIVE_REGULATION_OF_...332;GOBP_NEGATIVE_REGULATION_OF_...491;GOBP_NEGATIVE_REGULATION_OF_...492;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_POSITIVE_REGULATION_OF_...110;GOBP_POSITIVE_REGULATION_OF_...145;GOBP_POSITIVE_REGULATION_OF_...186;GOBP_POSITIVE_REGULATION_OF_...464;GOBP_POSITIVE_REGULATION_OF_...730;GOBP_POSTSYNAPSE_ORGANIZATION;GOBP_REGULATION_OF_CELL_PROJ...2;GOBP_REGULATION_OF_MAMMARY_G...;GOBP_REGULATION_OF_MRNA_META...;GOBP_REGULATION_OF_NERVOUS_S...1;GOBP_REGULATION_OF_NEUROGENE...;GOBP_REGULATION_OF_NEURON_PR...2;GOBP_REGULATION_OF_OXIDATIVE...2;GOBP_REGULATION_OF_OXIDATIVE...3;GOBP_REGULATION_OF_SYNAPSE_S...2;GOBP_REGULATION_OF_TRANS_SYN...;GOBP_RESPONSE_TO_FOLIC_ACID;GOBP_RESPONSE_TO_SYMBIONT;GOBP_SYNAPSE_ASSEMBLY;GOBP_SYNAPSE_ORGANIZATION;GOBP_SYNAPTIC_MEMBRANE_ADHES...;GOBP_SYNAPTIC_SIGNALING;GOBP_TELENCEPHALON_DEVELOPME...;GOCC_CHROMATIN;GOCC_CHROMOSOME;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_NUCLEAR_PROTEIN_CONTAIN...;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_DENSITY_ME...;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_POSTSYNAPTIC_SPECIALIZA...3;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOMF_HIGH_VOLTAGE_GATED_CALC...;GOMF_RNA_BINDING;GOMF_TRANSCRIPTION_REGULATOR...2;HOUNKPE_HOUSEKEEPING_GENES;KEGG_MAPK_SIGNALING_PATHWAY;MOLENAAR_TARGETS_OF_CCND1_AN...2;REACTOME_SYNTHESIS_OF_12_EIC...;REACTOME_SYNTHESIS_OF_15_EIC...;REACTOME_SYNTHESIS_OF_5_EICO...
EUR	SCZ_3TRAIT	competitive_gene_set	CF	True	29.0	16.0	10.0	0.2857142857142857	0.3448275862068966	0.625	GOBP_CELL_MORPHOGENESIS;GOBP_CELL_PART_MORPHOGENESIS;GOBP_CENTRAL_NERVOUS_SYSTEM_...1;GOBP_GENERATION_OF_NEURONS;GOBP_HEAD_DEVELOPMENT;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_SYNAPSE_ORGANIZATION;GOCC_DENDRITIC_TREE;GOCC_NEURON_PROJECTION	145.0	79.0	50.0	0.28735632183908044	0.3448275862068966	0.6329113924050633	BLALOCK_ALZHEIMERS_DISEASE_DN;GOBP_AXON_DEVELOPMENT;GOBP_CELLULAR_COMPONENT_MORP...;GOBP_CELLULAR_RESPONSE_TO_CA...5;GOBP_CELL_JUNCTION_ASSEMBLY;GOBP_CELL_JUNCTION_ORGANIZAT...;GOBP_CELL_MORPHOGENESIS;GOBP_CELL_MORPHOGENESIS_INVO...;GOBP_CELL_PART_MORPHOGENESIS;GOBP_CENTRAL_NERVOUS_SYSTEM_...1;GOBP_CENTRAL_NERVOUS_SYSTEM_...7;GOBP_DENDRITE_DEVELOPMENT;GOBP_FOREBRAIN_DEVELOPMENT;GOBP_GENERATION_OF_NEURONS;GOBP_HEAD_DEVELOPMENT;GOBP_INTRACELLULAR_GLUCOSE_H...;GOBP_NEGATIVE_REGULATION_OF_...17;GOBP_NEGATIVE_REGULATION_OF_...49;GOBP_NEUROGENESIS;GOBP_NEURON_DEVELOPMENT;GOBP_POSITIVE_REGULATION_OF_...730;GOBP_REGULATION_OF_NERVOUS_S...1;GOBP_REGULATION_OF_NEUROGENE...;GOBP_REGULATION_OF_SYNAPSE_S...2;GOBP_REGULATION_OF_TRANS_SYN...;GOBP_SYNAPSE_ASSEMBLY;GOBP_SYNAPSE_ORGANIZATION;GOBP_SYNAPTIC_MEMBRANE_ADHES...;GOBP_SYNAPTIC_SIGNALING;GOBP_TELENCEPHALON_DEVELOPME...;GOCC_CHROMATIN;GOCC_CHROMOSOME;GOCC_DENDRITIC_TREE;GOCC_ION_CHANNEL_COMPLEX;GOCC_NEURON_PROJECTION;GOCC_NEURON_SPINE;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_POSTSYNAPTIC_SPECIALIZA...3;GOCC_SOMATODENDRITIC_COMPART...;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOCC_TRANSPORTER_COMPLEX;GOMF_HIGH_VOLTAGE_GATED_CALC...;GOMF_SEQUENCE_SPECIFIC_DNA_B...;GOMF_VOLTAGE_GATED_MONOATOMI...2;REACTOME_MECP2_REGULATES_TRA...1;VERHAAK_GLIOBLASTOMA_PRONEUR...
EUR	SCZ_3TRAIT	competitive_gene_set	SCZ	True	29.0	20.0	10.0	0.2564102564102564	0.3448275862068966	0.5	GOCC_DENDRITIC_TREE;GOCC_NEURON_PROJECTION;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_SOMATODENDRITIC_COMPART...;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOMF_VOLTAGE_GATED_MONOATOMI...2	145.0	62.0	27.0	0.15	0.18620689655172415	0.43548387096774194	GOBP_POSITIVE_REGULATION_OF_...700;GOBP_REGULATION_OF_MRNA_META...;GOBP_REGULATION_OF_TRANS_SYN...;GOBP_SUBPALLIUM_DEVELOPMENT;GOBP_SYNAPSE_ORGANIZATION;GOBP_SYNAPTIC_SIGNALING;GOCC_AXON;GOCC_DENDRITIC_TREE;GOCC_L_TYPE_VOLTAGE_GATED_CA...;GOCC_NEURON_PROJECTION;GOCC_NEURON_TO_NEURON_SYNAPSE;GOCC_POSTSYNAPSE;GOCC_POSTSYNAPTIC_DENSITY_ME...;GOCC_POSTSYNAPTIC_MEMBRANE;GOCC_POSTSYNAPTIC_SPECIALIZA...1;GOCC_POSTSYNAPTIC_SPECIALIZA...3;GOCC_SOMATODENDRITIC_COMPART...;GOCC_SYNAPSE;GOCC_SYNAPTIC_MEMBRANE;GOMF_HIGH_VOLTAGE_GATED_CALC...;GOMF_VOLTAGE_GATED_CHANNEL_A...;GOMF_VOLTAGE_GATED_MONOATOMI...2;MIKKELSEN_DEDIFFERENTIATED_S...1;REACTOME_MECP2_REGULATES_TRA...1;REACTOME_NEURONAL_SYSTEM;REACTOME_PROTEIN_PROTEIN_INT...;STARK_PREFRONTAL_CORTEX_22Q1...2
EAS	FOURTRAIT	competitive_gene_set	EA	True	0.0	0.0	0.0	NA	NA	NA		0.0	0.0	0.0	NA	NA	NA	
EAS	FOURTRAIT	competitive_gene_set	CF	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EAS	FOURTRAIT	competitive_gene_set	MDD	True	0.0	3.0	0.0	0.0	NA	0.0		0.0	4.0	0.0	0.0	NA	0.0	
EAS	FOURTRAIT	competitive_gene_set	SCZ	True	0.0	0.0	0.0	NA	NA	NA		0.0	0.0	0.0	NA	NA	NA	
EAS	MDD_3TRAIT	competitive_gene_set	EA	True	0.0	0.0	0.0	NA	NA	NA		0.0	0.0	0.0	NA	NA	NA	
EAS	MDD_3TRAIT	competitive_gene_set	CF	False	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
